Series,Series_index,Subject,a,b or above,c or above,d or above,e or above,ungraded
2018 June,22,Physics,29.9,43.4,58.9,73.1,85.4,14.6
2018 June,23,Portuguese Language,73.9,93.0,97.4,100.0,100.0,0.0
2018 June,24,Psychology,11.9,23.6,37.0,52.0,65.2,34.8
2018 June,25,Sociology,9.9,20.1,32.3,46.4,61.3,38.7
2018 June,26,Spanish Language,47.2,66.5,80.9,90.2,95.7,4.3
2018 June,27,Spanish Literature,9.7,37.1,60.2,76.9,81.7,18.3
2018 June,28,Thinking Skills,6.5,17.4,33.8,53.8,73.8,26.2
2018 June,29,Travel and Tourism,2.3,8.9,22.3,43.5,64.5,35.5
2016 November,0,Accounting,15.3,30.0,43.8,58.8,72.5,27.5
2016 November,1,Afrikaans Language,40.1,53.7,69.5,81.4,91.4,8.6
2016 November,2,Applied ICT,11.1,19.4,32.7,52.1,69.2,30.8
2016 November,3,Arabic Language,56.9,71.6,80.7,91.7,95.4,4.6
2016 November,4,Art and Design,8.9,23.8,38.3,56.9,76.4,23.6
2016 November,5,Biology,25.8,43.3,59.2,73.0,84.4,15.6
2016 November,6,Business,9.2,20.9,36.2,52.8,66.8,33.2
2016 November,7,Chemistry,25.5,49.3,64.0,76.9,87.1,12.9
2016 November,8,Chinese Language,88.7,93.7,97.3,98.7,99.4,0.6
2016 November,9,Classical Studies,19.1,38.5,63.7,80.9,91.2,8.8
2016 November,10,Computer Science,18.7,30.8,44.4,60.5,74.1,25.9
2016 November,11,Design and Technology,6.8,22.5,45.7,72.9,87.9,12.1
2016 November,12,Divinity,9.2,14.9,26.4,38.5,52.9,47.1
2016 November,13,Economics,20.8,33.7,50.4,66.0,80.1,19.9
2016 November,14,English Language,7.1,21.6,36.8,55.6,73.4,26.6
2016 November,15,Environmental Management,11.5,40.8,62.4,77.7,90.4,9.6
2016 November,16,First Language Spanish,17.5,48.9,66.8,80.7,88.8,11.2
2016 November,17,French Language,20.3,36.7,54.1,71.5,86.1,13.9
2016 November,18,General Paper,10.4,30.3,55.7,77.3,90.7,9.3
2016 November,19,Geography,11.9,24.0,41.3,59.1,74.6,25.4
2016 November,20,German Language,24.8,40.7,64.2,84.1,95.1,4.9
2016 November,21,Global Perspectives & Research,10.9,28.5,62.9,85.2,93.4,6.6
2016 November,22,Hindi Language,18.8,39.0,57.2,80.8,88.4,11.6
2016 November,23,Hinduism,14.1,32.9,53.0,74.8,90.6,9.4
2016 November,24,History,10.0,23.2,41.8,61.2,74.3,25.7
2016 November,25,Islamic Studies,23.1,47.1,76.9,83.5,90.1,9.9
2016 November,26,Japanese,46.8,72.8,86.4,94.0,96.2,3.8
2016 November,27,Language and Literature in English,7.6,15.8,31.4,52.9,71.4,28.6
2016 November,28,Law,11.6,23.1,36.1,50.2,61.2,38.8
2016 November,29,Literature in English,17.7,30.6,50.1,68.1,81.6,18.4
2016 November,30,Mathematics,27.6,41.8,57.1,70.8,82.5,17.5
2016 November,31,Physical Education,9.3,18.7,33.1,50.3,71.2,28.8
2016 November,32,Physical Science,13.7,34.0,51.6,66.0,79.1,20.9
2016 November,33,Physics,25.5,46.3,61.2,74.0,85.3,14.7
2016 November,34,Psychology,14.2,26.5,44.4,64.1,77.8,22.2
2016 November,35,Sociology,9.2,16.8,30.2,48.2,62.8,37.2
2016 November,36,Spanish Language,43.3,50.3,61.4,76.0,86.5,13.5
2016 November,37,Thinking Skills,8.4,20.8,36.7,55.2,75.8,24.2
2016 November,38,Travel and Tourism,0.5,3.6,17.6,46.2,70.8,29.2
2016 November,39,Urdu Language,59.7,79.0,91.6,95.8,98.3,1.7
2017 November,0,Accounting,14.9,28.9,43.0,57.4,71.1,28.9
2017 November,1,Afrikaans Language,38.6,57.8,74.0,88.3,95.2,4.8
2017 November,2,Applied ICT / Information Technology,5.7,13.2,24.4,41.6,55.5,44.5
2017 November,3,Arabic Language,47.2,63.2,84.9,95.3,99.1,0.9
2017 November,4,Art and Design,6.6,15.8,34.2,52.7,68.3,31.7
2017 November,5,Biology,26.2,44.0,61.5,75.5,84.7,15.3
2017 November,6,Business,9.3,21.3,36.9,53.2,66.0,34.0
2017 November,7,Chemistry,23.9,47.4,62.5,74.9,85.6,14.4
2017 November,8,Chinese Language,76.5,84.5,90.4,95.6,97.2,2.8
2017 November,9,Classical Studies,14.3,32.6,51.5,68.2,85.4,14.6
2017 November,10,Computer Science,15.2,29.4,43.6,59.7,76.3,23.7
2017 November,11,Design and Technology,16.2,30.8,57.0,76.6,89.7,10.3
2017 November,12,Divinity,7.9,12.2,24.5,42.4,57.6,42.4
2017 November,13,Economics,17.7,29.3,46.8,62.8,77.1,22.9
2017 November,14,English Language,7.8,19.0,35.1,55.0,74.5,25.5
2017 November,15,Environmental Management,6.7,33.5,53.1,71.5,82.7,17.3
2017 November,16,First Language Spanish,16.9,43.8,66.7,84.9,93.6,6.4
2017 November,17,French Language,15.1,30.5,51.0,70.0,83.2,16.8
2017 November,18,General Paper,11.0,29.5,53.8,75.5,89.4,10.6
2017 November,19,Geography,20.1,32.8,52.1,67.9,80.5,19.5
2017 November,20,German Language,29.9,56.3,78.2,91.4,97.0,3.0
2017 November,21,Global Perspectives & Research,11.3,22.8,50.0,70.4,86.7,13.3
2017 November,22,Hindi Language,19.9,57.7,81.1,93.4,97.2,2.8
2017 November,23,Hinduism,14.4,38.9,70.2,82.2,88.9,11.1
2017 November,24,History,12.5,28.0,45.6,62.5,74.8,25.2
2017 November,25,Japanese,57.2,78.4,90.2,93.4,96.0,4.0
2017 November,26,Language and Literature in English,7.8,14.2,32.4,55.5,76.2,23.8
2017 November,27,Law,10.8,21.8,36.4,51.2,62.8,37.2
2017 November,28,Literature in English,14.9,28.1,47.7,68.0,81.5,18.5
2017 November,29,Mathematics,27.1,42.6,59.3,72.6,83.1,16.9
2017 November,30,Physical Education,9.7,19.8,33.2,48.8,66.8,33.2
2017 November,31,Physics,24.9,46.0,61.4,73.9,84.4,15.6
2017 November,32,Psychology,15.3,27.8,49.2,66.6,79.0,21.0
2017 November,33,Sociology,7.8,12.8,28.0,48.1,66.5,33.5
2017 November,34,Spanish Language,40.6,59.4,73.3,86.7,95.6,4.4
2017 November,35,Thinking Skills,8.5,18.2,35.8,51.4,68.8,31.2
2017 November,36,Travel and Tourism,0.9,5.8,22.3,46.3,67.7,32.3
2017 November,37,Urdu Language,54.7,78.9,92.2,96.1,100.0,0.0
2019 November,0,Accounting,18.2,32.6,48.8,61.8,76.8,23.2
2019 November,1,Afrikaans Language,29.0,46.5,65.7,82.0,94.5,5.5
2019 November,2,Art and Design,6.1,18.6,38.2,59.9,77.1,22.9
2019 November,3,Biology,26.8,44.4,60.7,74.5,84.8,15.2
2019 November,4,Business,8.9,18.9,33.3,49.0,63.1,36.9
2019 November,5,Chemistry,29.2,49.0,63.6,75.7,86.5,13.5
2019 November,6,Chinese Language,77.2,85.1,90.8,93.6,95.5,4.5
2019 November,7,Classical Studies,7.3,15.1,30.6,51.0,73.4,26.6
2019 November,8,Computer Science,17.9,30.3,46.6,62.3,77.5,22.5
2019 November,9,Design and Technology,5.7,19.4,46.3,66.3,79.7,20.3
2019 November,10,Digital Media and Design,16.9,34.7,56.8,78.8,89.0,11.0
2019 November,11,Economics,20.7,32.0,50.7,66.9,80.2,19.8
2019 November,12,English General Paper,8.0,22.7,43.6,66.2,84.2,15.8
2019 November,13,English Language,5.7,17.3,31.2,50.3,69.6,30.4
2019 November,14,Environmental Management,12.9,29.6,41.3,62.9,83.3,16.7
2019 November,15,French Language,22.6,35.9,50.9,69.7,84.3,15.7
2019 November,16,Geography,18.9,33.1,50.9,69.6,83.0,17.0
2019 November,17,German Language,27.2,54.4,79.0,91.8,97.4,2.6
2019 November,18,Global Perspectives & Research,6.5,14.9,36.8,60.5,81.8,18.2
2019 November,19,Hindi Language,25.7,55.9,76.3,87.3,95.1,4.9
2019 November,20,Hinduism,18.9,42.7,73.3,88.8,94.7,5.3
2019 November,21,History,6.8,19.7,36.9,53.3,70.2,29.8
2019 November,22,Information Technology,6.3,20.8,38.3,53.6,69.7,30.3
2019 November,23,Islamic Studies,20.6,39.0,62.4,80.1,90.8,9.2
2019 November,24,Language and Literature in English,4.1,12.2,25.4,48.1,66.7,33.3
2019 November,25,Law,9.3,23.2,39.6,54.0,66.8,33.2
2019 November,26,Literature in English,16.0,29.8,45.5,63.8,78.2,21.8
2019 November,27,Mathematics,27.4,41.4,59.4,73.3,83.6,16.4
2019 November,28,Media Studies,11.2,25.9,55.9,77.6,92.3,7.7
2019 November,29,Physical Education,10.7,21.8,35.8,49.7,66.0,34.0
2019 November,30,Physics,28.8,49.2,64.2,77.4,87.1,12.9
2019 November,31,Psychology,17.0,31.8,47.1,64.0,78.2,21.8
2019 November,32,Sociology,6.9,15.5,30.3,46.7,65.9,34.1
2019 November,33,Spanish Language,26.8,39.5,58.0,71.3,86.0,14.0
2019 November,34,Thinking Skills,9.3,19.8,35.3,54.8,73.8,26.2
2019 November,35,Travel and Tourism,2.0,8.6,24.2,46.5,65.0,35.0
2019 November,36,Urdu Language,65.0,82.1,90.6,93.2,95.7,4.3
2019 June,0,Accounting,18.6,33.3,48.7,63.4,78.7,21.3
2019 June,1,Art and Design,6.0,15.1,28.1,44.1,64.3,35.7
2019 June,2,Biology,24.8,39.4,56.2,71.0,82.0,18.0
2019 June,3,Business,12.0,22.8,40.4,56.1,69.5,30.5
2019 June,4,Chemistry,28.4,47.0,63.1,76.1,86.1,13.9
2019 June,5,Computer Science,21.6,34.4,49.9,63.3,76.6,23.4
2019 June,6,Digital Media and Design,2.9,4.6,8.7,21.0,60.7,39.3
2019 June,7,Economics,27.1,41.4,55.7,68.4,80.0,20.0
2019 June,8,English Language,5.1,15.5,29.8,49.9,69.8,30.2
2019 June,9,Environmental Management,4.6,20.1,38.1,58.7,77.2,22.8
2019 June,10,French Language,25.6,40.6,55.5,66.2,79.8,20.2
2019 June,11,General Paper,9.8,25.5,47.1,68.9,84.7,15.3
2019 June,12,Geography,14.0,24.5,41.1,56.9,73.0,27.0
2019 June,13,Global Perspectives & Research,7.7,22.0,49.7,75.6,90.2,9.8
2019 June,14,History,3.7,13.1,23.7,37.9,53.6,46.4
2019 June,15,Information Technology,15.6,28.1,40.9,54.6,68.1,31.9
2019 June,16,Language and Literature in English,4.5,11.7,18.9,30.6,49.5,50.5
2019 June,17,Law,12.1,24.0,38.3,53.8,66.5,33.5
2019 June,18,Literature in English,8.5,17.9,32.8,52.2,71.1,28.9
2019 June,19,Marine Science,3.4,12.0,28.0,45.6,63.6,36.4
2019 June,20,Mathematics,26.6,44.6,61.2,73.6,83.4,16.6
2019 June,21,Media Studies,3.5,11.3,32.3,59.6,81.9,18.1
2019 June,22,Music,22.4,44.8,66.2,81.0,91.4,8.6
2019 June,23,Physics,30.0,46.3,62.0,75.0,85.3,14.7
2019 June,24,Portuguese Language,59.2,85.6,93.6,98.4,100.0,0.0
2019 June,25,Psychology,12.5,23.3,37.4,51.4,63.6,36.4
2019 June,26,Sociology,10.1,19.3,32.2,46.4,62.1,37.9
2019 June,27,Spanish Language,41.6,61.9,77.3,88.1,95.0,5.0
2019 June,28,Spanish Literature,13.9,48.6,71.5,86.1,90.3,9.7
2019 June,29,Thinking Skills,6.2,16.4,33.8,53.8,73.8,26.2
2019 June,30,Travel and Tourism,3.4,12.2,28.7,48.3,67.7,32.3
2020 June,0,Accounting,40.7,65.2,83.0,93.3,97.9,2.1
2020 June,1,Arabic Language,84.4,92.7,96.3,100.0,100.0,0.0
2020 June,2,Art and Design,29.2,52.7,71.6,82.3,91.7,8.3
2020 June,3,Biology,43.7,65.5,80.6,89.3,94.6,5.4
2020 June,4,Business,26.3,48.1,69.8,85.4,94.4,5.6
2020 June,5,Chemistry,46.2,69.2,84.7,93.5,97.7,2.3
2020 June,6,Computer Science,44.3,66.4,81.9,89.9,94.8,5.2
2020 June,7,Digital Media and Design,8.9,20.5,33.3,45.9,79.7,20.3
2020 June,8,Economics,42.6,64.3,80.6,90.8,96.4,3.6
2020 June,9,English Language,10.6,27.1,47.7,66.5,84.4,15.6
2020 June,10,English Literature,11.3,26.4,45.0,63.9,81.8,18.2
2020 June,11,Environmental Management,10.0,28.0,49.3,68.3,85.7,14.3
2020 June,12,French Language,39.5,61.8,76.5,84.7,94.7,5.3
2020 June,13,Further Mathematics,73.6,89.5,95.5,97.7,99.3,0.7
2020 June,14,General Paper,14.7,34.6,59.4,78.3,90.9,9.1
2020 June,15,Geography,30.0,50.6,69.7,81.3,91.0,9.0
2020 June,16,Global Perspectives & Research,15.5,36.5,63.2,82.6,94.2,5.8
2020 June,17,History,7.5,19.7,34.2,49.2,68.1,31.9
2020 June,18,Information Technology,30.6,57.2,77.9,91.8,97.6,2.4
2020 June,19,Language and Literature in English,18.9,39.6,62.5,80.4,96.0,4.0
2020 June,20,Law,33.5,59.5,80.4,93.6,99.2,0.8
2020 June,21,Marine Science,9.8,27.0,46.3,64.7,81.0,19.0
2020 June,22,Mathematics,42.1,62.8,78.3,88.0,94.7,5.3
2020 June,23,Media Studies,11.9,31.0,54.5,73.9,87.7,12.3
2020 June,24,Music,35.7,62.9,79.8,86.4,91.9,8.1
2020 June,25,Physical Education,14.0,29.6,47.8,66.7,84.4,15.6
2020 June,26,Physics,47.8,69.6,84.8,93.4,97.6,2.4
2020 June,27,Portuguese Language,59.7,87.3,96.3,99.3,100.0,0.0
2020 June,28,Psychology,20.5,37.6,54.6,69.1,82.6,17.4
2020 June,29,Sociology,20.1,37.0,54.3,67.9,81.6,18.4
2020 June,30,Spanish Language,48.5,71.0,85.9,92.9,97.7,2.3
2020 June,31,Spanish Literature,31.8,65.9,87.1,94.7,98.2,1.8
2020 June,32,Thinking Skills,14.1,29.2,48.0,66.5,83.9,16.1
2020 June,33,Travel and Tourism,11.2,27.3,49.9,66.8,82.4,17.6
2018 November,0,Accounting,17.4,30.6,43.8,57.9,72.2,27.8
2018 November,1,Afrikaans Language,32.9,50.3,65.4,81.5,90.7,9.3
2018 November,2,Art and Design,5.7,13.0,26.1,49.6,73.9,26.1
2018 November,3,Biology,26.5,43.4,59.9,74.0,84.4,15.6
2018 November,4,Business,8.5,18.8,34.1,50.0,63.9,36.1
2018 November,5,Chemistry,28.3,48.4,62.3,76.2,86.3,13.7
2018 November,6,Chinese Language,81.1,88.0,91.1,93.8,96.1,3.9
2018 November,7,Classical Studies,8.3,19.1,37.7,54.9,72.7,27.3
2018 November,8,Computer Science,16.4,30.4,45.4,62.3,77.8,22.2
2018 November,9,Design and Technology,14.2,27.0,45.9,68.3,82.8,17.2
2018 November,10,Divinity,5.5,26.6,40.6,54.7,66.4,33.6
2018 November,11,Economics,20.2,31.9,49.8,65.4,78.0,22.0
2018 November,12,English Language,7.6,18.5,33.5,53.7,71.7,28.3
2018 November,13,Environmental Management,7.9,33.2,51.5,71.8,88.4,11.6
2018 November,14,First Language Spanish,12.1,34.6,60.3,79.0,86.0,14.0
2018 November,15,French Language,13.6,31.9,53.0,71.3,87.8,12.2
2018 November,16,General Paper,10.9,27.0,49.8,71.8,87.4,12.6
2018 November,17,Geography,19.1,32.9,52.3,67.6,80.4,19.6
2018 November,18,German Language,31.3,50.5,75.7,87.9,99.1,0.9
2018 November,19,Global Perspectives & Research,9.3,21.2,41.9,66.3,85.1,14.9
2018 November,20,Hindi Language,34.0,60.5,78.5,91.0,98.0,2.0
2018 November,21,Hinduism,26.8,51.5,74.0,86.0,91.1,8.9
2018 November,22,History,10.5,25.5,44.7,60.9,72.9,27.1
2018 November,23,Information Technology,10.9,23.3,38.1,52.5,67.4,32.6
2018 November,24,Islamic Studies,21.8,36.7,57.8,78.9,87.1,12.9
2018 November,25,Japanese,54.3,76.3,87.8,93.8,97.0,3.0
2018 November,26,Language and Literature in English,4.6,11.6,25.9,48.6,72.2,27.8
2018 November,27,Law,8.1,19.4,31.7,46.6,60.7,39.3
2018 November,28,Literature in English,17.0,30.9,51.3,68.2,81.6,18.4
2018 November,29,Mathematics,27.2,41.6,58.8,72.2,82.8,17.2
2018 November,30,Physical Education,9.4,21.9,39.0,57.6,74.0,26.0
2018 November,31,Physics,26.5,48.2,63.2,76.4,85.9,14.1
2018 November,32,Psychology,21.5,35.4,53.8,69.3,81.6,18.4
2018 November,33,Sociology,6.6,13.9,28.1,46.2,65.0,35.0
2018 November,34,Spanish Language,32.4,54.7,68.2,81.8,93.2,6.8
2018 November,35,Thinking Skills,11.8,25.6,40.6,60.2,78.4,21.6
2018 November,36,Travel and Tourism,1.6,8.8,24.4,44.9,68.6,31.4
2018 November,37,Urdu Language,59.5,77.9,88.5,93.1,95.4,4.6
2017 June,0,Accounting,23.2,36.5,50.7,65.9,78.2,21.8
2017 June,1,Applied ICT / Information Technology,13.8,28.4,42.4,56.0,69.1,30.9
2017 June,2,Art and Design,6.3,13.6,26.2,43.9,65.0,35.0
2017 June,3,Biology,24.8,38.6,55.5,69.6,81.1,18.9
2017 June,4,Business,13.1,26.5,42.6,57.0,69.3,30.7
2017 June,5,Chemistry,28.7,43.7,59.6,74.2,86.6,13.4
2017 June,6,Computer Science,19.3,33.4,46.0,61.1,74.9,25.1
2017 June,7,Economics,27.7,41.0,53.9,66.8,77.7,22.3
2017 June,8,English Language,5.4,15.5,32.0,54.3,74.5,25.5
2017 June,9,Environmental Management,3.8,20.6,40.0,61.7,77.7,22.3
2017 June,10,French Language,25.2,42.7,59.6,74.8,85.2,14.8
2017 June,11,General Paper,12.8,30.4,58.4,78.0,89.5,10.5
2017 June,12,Geography,19.9,33.2,48.7,62.8,75.0,25.0
2017 June,13,Global Perspectives & Research,10.6,26.1,54.9,80.2,94.5,5.5
2017 June,14,History,5.0,14.9,25.8,40.4,54.6,45.4
2017 June,15,Language and Literature in English,7.4,15.6,28.1,41.6,58.9,41.1
2017 June,16,Law,13.7,24.0,36.4,50.4,64.4,35.6
2017 June,17,Literature in English,9.2,20.2,35.4,54.1,71.6,28.4
2017 June,18,Marine Science,3.9,10.8,26.6,46.9,65.0,35.0
2017 June,19,Mathematics,24.8,43.6,60.2,72.6,82.4,17.6
2017 June,20,Media Studies,2.1,12.8,32.7,61.9,84.2,15.8
2017 June,21,Music,30.1,55.7,73.5,87.3,92.1,7.9
2017 June,22,Physics,29.3,42.6,59.1,73.3,84.8,15.2
2017 June,23,Portuguese Language,43.2,72.0,85.6,92.8,97.6,2.4
2017 June,25,Psychology,11.3,22.9,36.3,50.9,63.7,36.3
2017 June,26,Sociology,9.2,19.4,34.2,50.5,66.5,33.5
2017 June,27,Spanish Language,47.8,65.1,77.8,87.8,93.9,6.1
2017 June,28,Spanish Literature,24.0,52.8,79.0,94.1,97.0,3.0
2017 June,29,Thinking Skills,6.2,16.1,33.3,55.0,74.1,25.9
